,db_id,original_sql,rewritten_sql_gpt,activated_rules_gpt,prompt_sql_similar,prompt_rules_similar
10,job,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=7 AND mc.company_type_id=1 AND ci.person_id<3978504;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_type_id = 1) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id < 3978504) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",['SELECT * FROM cast_info ci WHERE ci.person_id>1407353 AND ci.role_id<2;'],"[""['FILTER_INTO_JOIN']""]"
11,job,SELECT * FROM movie_companies mc WHERE mc.company_id>14922;,SELECT * FROM movie_companies WHERE company_id > 14922,['FILTER_SCAN'],"['SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=1969 AND mk.keyword_id<25984;']","[""['FILTER_INTO_JOIN']""]"
12,job,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mk.keyword_id<1382;",SELECT * FROM title INNER JOIN movie_info ON title.id = movie_info.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 1382) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id<7 AND t.production_year<1968 AND mc.company_id>33829 AND ci.role_id>1;']","[""['FILTER_INTO_JOIN']""]"
13,job,"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.production_year<1990 AND ci.person_id<1289678 AND ci.role_id<2 AND mk.keyword_id=3521;",SELECT * FROM (SELECT * FROM title WHERE production_year < 1990) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1289678 AND role_id < 2) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 3521) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2002 AND mi_idx.info_type_id=99;']","[""['FILTER_INTO_JOIN']""]"
14,job,"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year<2010 AND mi.info_type_id<13;",SELECT * FROM (SELECT * FROM title WHERE production_year < 2010) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 13) AS t0 ON t.id = t0.movie_id INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2007 AND mi_idx.info_type_id=101 AND mk.keyword_id=48524;']","[""['FILTER_INTO_JOIN']""]"
15,job,SELECT * FROM cast_info ci WHERE ci.person_id>252027 AND ci.role_id>3;,SELECT * FROM cast_info WHERE person_id > 252027 AND role_id > 3,['FILTER_SCAN'],"['SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id<7 AND ci.person_id<3056992 AND ci.role_id>5;']","[""['FILTER_INTO_JOIN', 'FILTER_SCAN']""]"
16,job,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mi.info_type_id>16 AND mk.keyword_id=10104;","SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mi.info_type_id>16 AND mk.keyword_id=10104",[],"['SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=2 AND mk.keyword_id=5899;']","[""['Empty List']""]"
17,job,"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=2008 AND mk.keyword_id>1;","SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=2008 AND mk.keyword_id>1",[],['SELECT * FROM movie_companies mc WHERE mc.company_id=31738;'],"[""['Empty List']""]"
18,job,SELECT * FROM cast_info ci WHERE ci.person_id>1347087;,SELECT * FROM cast_info ci WHERE ci.person_id>1347087,[],"['SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<3392812 AND ci.role_id>2;']","[""['Empty List']""]"
19,job,"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1999 AND ci.person_id=1164479 AND ci.role_id=1;",SELECT * FROM (SELECT * FROM title WHERE production_year > 1999) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id = 1164479 AND role_id = 1) AS t0 ON t.id = t0.movie_id INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",['SELECT * FROM movie_companies mc WHERE mc.company_id<23037 AND mc.company_type_id=2;'],"[""['FILTER_INTO_JOIN']""]"
20,job,"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND mc.company_id<20235;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 1) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 20235) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>3 AND t.production_year<2011 AND mi.info_type_id<18;']","[""['FILTER_INTO_JOIN']""]"
21,job,"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year>0 AND mi_idx.info_type_id<101 AND mk.keyword_id<16264;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year > 0) AS t INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id < 101) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 16264) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN']","['SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year=2000 AND mi.info_type_id>8;']","[""['FILTER_INTO_JOIN', 'FILTER_SCAN']""]"
22,job,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id=11264 AND mc.company_type_id=2 AND ci.role_id=1;",SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id = 11264 AND company_type_id = 2) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM cast_info WHERE role_id = 1) AS t0 ON title.id = t0.movie_id,"['JOIN_CONDITION_PUSH', 'FILTER_INTO_JOIN']",['SELECT * FROM cast_info ci WHERE ci.person_id>3538735;'],"[""['FILTER_INTO_JOIN']""]"
23,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=2907675 AND ci.role_id>1;",SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id = 2907675 AND role_id > 1) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id>1 AND t.production_year>2007 AND ci.person_id>1439322 AND ci.role_id>1;']","[""['FILTER_INTO_JOIN']""]"
24,job,"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=9174;","SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=9174",[],"['SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year=2011 AND mc.company_id<6893 AND mc.company_type_id=2;']","[""['Empty List']""]"
25,job,"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>2071795 AND ci.role_id<8;",SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id > 2071795 AND role_id < 8) AS t ON title.id = t.movie_id INNER JOIN movie_info ON title.id = movie_info.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id=81010 AND mi.info_type_id<13;']","[""['FILTER_INTO_JOIN']""]"
26,job,"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id=1396 AND mc.company_type_id=1 AND mi_idx.info_type_id>100;",SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id = 1396 AND company_type_id = 1) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id > 100) AS t0 ON title.id = t0.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year>1994 AND ci.person_id<608748 AND ci.role_id>10;']","[""['FILTER_INTO_JOIN']""]"
27,job,"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=52;","SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=52",[],"['SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<3 AND t.production_year=1989 AND mi.info_type_id<15;']","[""['Empty List']""]"
28,job,"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id=3311036 AND ci.role_id>3;","SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id=3311036 AND ci.role_id>3",[],"['SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year=1999 AND mi_idx.info_type_id<101;']","[""['Empty List']""]"
29,job,"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>6960;","SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>6960",[],"['SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year=2000 AND mc.company_id<11185;']","[""['Empty List']""]"
30,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year<1997 AND ci.person_id>2557075 AND ci.role_id>1;","SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year<1997 AND ci.person_id>2557075 AND ci.role_id>1",[],['SELECT * FROM movie_companies mc WHERE mc.company_id<6534;'],"[""['Empty List']""]"
31,job,SELECT * FROM movie_companies mc WHERE mc.company_id>10295 AND mc.company_type_id=1;,SELECT * FROM movie_companies WHERE company_id > 10295 AND company_type_id = 1,['FILTER_SCAN'],"['SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year>1919 AND mc.company_id<5259 AND mc.company_type_id=1;']","[""['FILTER_INTO_JOIN']""]"
32,job,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id<459 AND mi.info_type_id<8;",SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 459) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 8) AS t0 ON title.id = t0.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>51095;']","[""['FILTER_INTO_JOIN']""]"
33,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year>2008 AND ci.person_id<2062618 AND ci.role_id=3;","SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year>2008 AND ci.person_id<2062618 AND ci.role_id=3",[],"['SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<3 AND mi.info_type_id>8 AND mi_idx.info_type_id>99;']","[""['Empty List']""]"
34,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>3519621 AND ci.role_id>1;",SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id > 3519621 AND role_id > 1) AS t ON title.id = t.movie_id,"['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_REDUCE_EXPRESSIONS']","['SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_type_id=1 AND ci.person_id>1688096 AND ci.role_id>10;']","[""['FILTER_SCAN', 'FILTER_PROJECT_TRANSPOSE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'JOIN_REDUCE_EXPRESSIONS']""]"
35,job,SELECT * FROM title t WHERE t.kind_id<4 AND t.production_year=1941;,SELECT * FROM title WHERE kind_id < 4 AND production_year = 1941,['FILTER_SCAN'],"['SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mi.info_type_id=7 AND mk.keyword_id=3511;']","[""['FILTER_INTO_JOIN']""]"
36,job,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year<1973 AND mc.company_type_id<2 AND mi.info_type_id<2;",SELECT * FROM (SELECT * FROM title WHERE production_year < 1973) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_type_id < 2) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 2) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_MERGE']","['SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id<6158 AND mc.company_type_id=2;']","[""['FILTER_INTO_JOIN']""]"
37,job,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id<1498 AND mc.company_type_id<2;","SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id<1498 AND mc.company_type_id<2",[],"['SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id>27 AND mc.company_type_id=1;']","[""['Empty List']""]"
38,job,SELECT * FROM movie_companies mc WHERE mc.company_id=88364;,SELECT * FROM movie_companies mc WHERE mc.company_id=88364,[],"['SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>2 AND t.production_year>1986 AND mi.info_type_id<7;']","[""['Empty List']""]"
39,job,"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=3 AND t.production_year=2006 AND mc.company_type_id>1;","SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=3 AND t.production_year=2006 AND mc.company_type_id>1",[],"['SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year=2007 AND mc.company_id>22158 AND mc.company_type_id<2;']","[""['Empty List']""]"
40,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=578700 AND ci.role_id=1;",SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id = 578700 AND role_id = 1) AS t ON title.id = t.movie_id,"['JOIN_CONDITION_PUSH', 'FILTER_INTO_JOIN']",['SELECT * FROM cast_info ci WHERE ci.person_id=426325;'],"[""['FILTER_INTO_JOIN']""]"
41,job,"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>1 AND t.production_year>2002 AND mc.company_type_id>1;",SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year > 2002) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_type_id > 1) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id>99 AND mk.keyword_id=21711;']","[""['FILTER_INTO_JOIN']""]"
42,job,"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id<82 AND mc.company_type_id<2 AND mk.keyword_id=793;","SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id<82 AND mc.company_type_id<2 AND mk.keyword_id=793",[],"['SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>1964 AND mk.keyword_id>7773;']","[""['Empty List']""]"
43,job,"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id=7 AND t.production_year>1983 AND mk.keyword_id>3639;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year > 1983) AS t INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 3639) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'FILTER_MERGE', 'JOIN_CONDITION_PUSH']","['SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=1997;']","[""['FILTER_INTO_JOIN', 'FILTER_MERGE', 'JOIN_CONDITION_PUSH']""]"
44,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year=2011 AND ci.person_id>2224539 AND ci.role_id=9;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year = 2011) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id > 2224539 AND role_id = 9) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=2005 AND ci.role_id>1 AND mk.keyword_id>5908;']","[""['AGGREGATE_JOIN_TRANSPOSE_EXTENDED', 'FILTER_INTO_JOIN']""]"
45,job,"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>4 AND t.production_year>1968;","SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>4 AND t.production_year>1968",[],['SELECT * FROM cast_info ci WHERE ci.person_id>3306312 AND ci.role_id=9;'],"[""['Empty List']""]"
46,job,"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year<1986 AND mi.info_type_id<3;","SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year<1986 AND mi.info_type_id<3",[],"['SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id>6 AND mc.company_type_id=1 AND mk.keyword_id<45802;']","[""['Empty List']""]"
47,job,"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<8787;",SELECT * FROM title INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 8787) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND mc.company_id=9163 AND mc.company_type_id>1 AND mk.keyword_id<712;']","[""['FILTER_INTO_JOIN']""]"
48,job,"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<4 AND mk.keyword_id<12917;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 4) AS t INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 12917) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'JOIN_REDUCE_EXPRESSIONS']","['SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id>3 AND t.production_year<1989;']","[""['FILTER_INTO_JOIN', 'SORT_JOIN_TRANSPOSE']""]"
49,job,"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year<1912 AND mi.info_type_id<4;","SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year<1912 AND mi.info_type_id<4",[],"['SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year>1969;']","[""['Empty List']""]"
50,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=78330 AND ci.role_id=1;",SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id = 78330 AND role_id = 1) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",['SELECT * FROM movie_keyword mk WHERE mk.keyword_id<6374;'],"[""['FILTER_INTO_JOIN']""]"
