,db_id,original_sql
10,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, bl.bond_id, bl.bond_type FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond_list AS bl ON c.bond_id = bl.bond_id WHERE a.element = 'C' ORDER BY m.molecule_id ASC, a.atom_id NULLS LAST, bl.bond_id NULLS LAST"
11,formula_1,"SELECT d.forename, d.surname, r.fastestlapspeed FROM drivers d INNER JOIN results r ON d.driverid = r.driverid WHERE r.fastestlapspeed IS NOT NULL AND r.position <= 3 ORDER BY r.fastestlaptime DESC LIMIT 8;"
12,toxicology,"SELECT molecule_id, COUNT(DISTINCT CASE WHEN bond_type = 'hydrogen' THEN 1 END) AS hydrogen_bonds, COUNT(DISTINCT CASE WHEN bond_type IN ('covalent', 'polar') THEN molecule_id END) AS covalent_bonds FROM bond GROUP BY molecule_id;"
13,european_football_2,"SELECT Player.player_api_id, Player.player_name, Player_Attributes.defensive_work_rate FROM player LEFT JOIN player_attributes ON Player.player_api_id = Player_Attributes.player_api_id AND Player_Attributes.defensive_work_rate = 'very high' AND Player_Attributes.overall_rating > 80"
14,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, c.atom_id2, b.bond_type FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond AS b ON c.bond_id = b.bond_id WHERE a.element = 'Zn' AND b.bond_type = 'covalent' ORDER BY m.molecule_id ASC, a.atom_id DESC, b.bond_type ASC"
15,student_club,"WITH member_privileges_analysis AS (SELECT privilege_level, member_id, COUNT(1) AS total_privileges, ROW_NUMBER() OVER (PARTITION BY privilege_level ORDER BY COUNT(1) DESC) AS rank, 'Privilege Top 3' AS result_type FROM member_privileges WHERE is_active = true AND privilege_scope = 'Alumni' AND approval_status = 'Approved' GROUP BY privilege_level, member_id), privilege_members AS (SELECT privilege_level, member_id, COUNT(1) AS total_privileges, ROW_NUMBER() OVER (PARTITION BY member_id ORDER BY COUNT(1) DESC) AS rank, 'Member Top Privilege' AS result_type FROM member_privileges WHERE is_active = true AND privilege_scope = 'Alumni' AND approval_status = 'Approved' GROUP BY privilege_level, member_id) SELECT privilege_level, member_id, total_privileges, result_type FROM member_privileges_analysis WHERE rank <= 3 UNION ALL SELECT privilege_level, member_id, total_privileges, result_type FROM privilege_members WHERE rank = 1 ORDER BY result_type, privilege_level, member_id"
16,european_football_2,"SELECT Player.player_api_id, Player.player_name, Player_Attributes.gk_positioning FROM player LEFT JOIN player_attributes ON Player.player_api_id = Player_Attributes.player_api_id AND Player_Attributes.gk_positioning > 90"
17,superhero,"SELECT s.superhero_name, a.alignment, p.power_name FROM superhero s JOIN alignment a ON s.alignment_id = a.id JOIN hero_power hp ON s.id = hp.hero_id JOIN superpower p ON hp.power_id = p.id WHERE s.weight_kg BETWEEN 85 AND 105 AND s.gender_id = 2 AND s.height_cm > 175"
18,card_games,"SELECT C.name, C.flavortext FROM cards AS C LEFT JOIN legalities AS L ON L.uuid = C.uuid WHERE L.format = 'Brawl' AND C.convertedmanacost BETWEEN 3.0 AND 5.0"
19,formula_1,"SELECT RACEID, MAX(CASE WHEN POSITIONORDER = 1 THEN CONSTRUCTORID END) AS CHAMPION, MAX(CASE WHEN POSITIONORDER = 2 THEN CONSTRUCTORID END) AS RUNNER_UP, MAX(CASE WHEN POSITIONORDER = 3 THEN CONSTRUCTORID END) AS THIRD_PLACE FROM results GROUP BY RACEID"
20,toxicology,"SELECT bond_type, bond_seq FROM bond_ref WHERE bond_type LIKE 'U%' ORDER BY bond_seq ASC NULLS FIRST"
21,formula_1,"SELECT RACEID, MAX(CASE WHEN POSITIONORDER = 1 THEN DRIVERID END) AS WINNER, MAX(CASE WHEN POSITIONORDER = 2 THEN DRIVERID END) AS RUNNER_UP, MAX(CASE WHEN POSITIONORDER = 3 THEN DRIVERID END) AS THIRD_PLACE FROM results WHERE POSITIONORDER <= 3 AND LAPS BETWEEN 171 AND 180 GROUP BY RACEID"
22,card_games,"SELECT * FROM cards WHERE 3 = (CASE WHEN artist LIKE 'K%' THEN 1 ELSE 0 END) + (CASE WHEN convertedmanacost = 2.5 THEN 1 ELSE 0 END) + (CASE WHEN hasfoil = 0 THEN 1 ELSE 0 END);"
23,financial,"SELECT player_id FROM player_stats_temp GROUP BY player_id HAVING COUNT(match_id) > 15 AND (MAX(minutes_played) - MIN(minutes_played)) > 1000;"
24,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, b.bond_id, b.bond_type FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond AS b ON c.bond_id = b.bond_id WHERE a.element = 'As' ORDER BY m.molecule_id ASC, a.atom_id NULLS LAST, b.bond_id NULLS FIRST"
25,financial,"SELECT player_id FROM player_stats GROUP BY player_id HAVING COUNT(match_id) > 5 AND (MAX(yellow_cards) - MIN(yellow_cards)) > 2;"
26,superhero,"SELECT * FROM attribute JOIN hero_attribute ON hero_attribute.attribute_id = attribute.id WHERE NOT (attribute_name = 'Perception' AND attribute_value BETWEEN 15 AND 35)"
27,codebase_community,"SELECT DISTINCT u.id AS user_id, u.displayname, u.reputation, b.name AS badge_name, b.date AS badge_date FROM users AS u LEFT JOIN badges AS b ON b.userid = u.id AND b.name = 'Explainer' WHERE u.reputation >= 25000 AND u.creationdate > '2018-01-01'"
28,toxicology,"SELECT * FROM (SELECT a.*, ROW_NUMBER() OVER (PARTITION BY a.molecule_id ORDER BY a.transact_dt_tm ASC) AS rnk FROM bond_list a) subquery WHERE rnk <= 3"
29,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, br.bond_type, br.bond_seq FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id2 INNER JOIN bond_ref AS br ON c.bond_id = br.bond_type WHERE a.element = 'B' ORDER BY m.molecule_id ASC, a.atom_id DESC, br.bond_seq ASC"
30,toxicology,"SELECT bond_type, bond_seq FROM bond_ref WHERE bond_type LIKE 'X%' ORDER BY bond_seq DESC NULLS LAST"
31,european_football_2,"SELECT Player.player_api_id, Player.player_name, Player_Attributes.standing_tackle FROM player LEFT JOIN player_attributes ON Player.player_api_id = Player_Attributes.player_api_id AND Player_Attributes.standing_tackle > 90 AND Player_Attributes.marking > 85"
32,card_games,"SELECT cards.types, CASE WHEN EXISTS (SELECT * FROM card_type WHERE card_type.cardid = cards.id AND card_type.type = 'Instant') THEN 'instant' ELSE 'not instant' END FROM cards"
33,european_football_2,"SELECT TA.ID, TA.BUILDUPPLAYDRIBBLING, TA.CHANCECREATIONCROSSING, TA.DEFENCEPRESSURE, TA.DEFENCETEAMWIDTH FROM team_attributes AS TA WHERE TA.BUILDUPPLAYDRIBBLING < (SELECT AVG(BUILDUPPLAYDRIBBLING) FROM team_attributes) AND TA.CHANCECREATIONCROSSING > (SELECT AVG(CHANCECREATIONCROSSING) FROM team_attributes) AND TA.DEFENCEPRESSURE < (SELECT AVG(DEFENCEPRESSURE) FROM team_attributes)"
34,toxicology,"SELECT av1.atom_id, av2.atom_id FROM atom_view AS av1 INNER JOIN atom_view AS av2 ON (av1.atom_id, av2.atom_id) IN (('AV300', 'AV301'), ('AV300', 'AV302'), ('AV301', 'AV302'))"
35,european_football_2,"SELECT p.player_name, p.height, COUNT(pa.id) AS defensive_count FROM player p JOIN player_attributes pa ON p.player_api_id = pa.player_api_id WHERE pa.marking > 75 AND p.height > 180 GROUP BY p.player_name, p.height HAVING COUNT(pa.id) > 5;"
36,student_club,"SELECT m.phone, e.location, b.category, z.county FROM member AS m LEFT JOIN attendance AS a ON m.member_id = a.link_to_member LEFT JOIN event AS e ON a.link_to_event = e.event_id LEFT JOIN budget AS b ON e.event_id = b.link_to_event LEFT JOIN zip_code AS z ON m.zip = z.zip_code WHERE b.amount BETWEEN 600 AND 1200 ORDER BY b.amount ASC NULLS FIRST"
37,european_football_2,"SELECT Player.player_api_id, Player.player_name, Player_Attributes.potential FROM player LEFT JOIN player_attributes ON Player.player_api_id = Player_Attributes.player_api_id AND Player_Attributes.potential > 80"
38,toxicology,"SELECT molecule_id, COUNT(*) AS total_elements FROM atom GROUP BY molecule_id HAVING COUNT(*) > 8;"
39,superhero,"WITH SUPERHERO_GROUP_RANK AS (SELECT ID, SUBGROUP2, ROW_NUMBER() OVER (ORDER BY SUBGROUP1 DESC NULLS LAST) AS RANK FROM SUPERHERO_GROUP) SELECT S1.SUBGROUP2 AS CURRENT_SUBGROUP, S2.SUBGROUP2 AS SUBGROUP_AFTER_15 FROM SUPERHERO_GROUP_RANK AS S1 LEFT JOIN SUPERHERO_GROUP_RANK AS S2 ON S2.RANK = S1.RANK + 15"
40,formula_1,"SELECT s.constructorresultsid, s.raceid, c.constructorid FROM constructorresults AS s INNER JOIN constructors AS c ON c.constructorid = s.constructorid WHERE s.raceid = 63 AND s.points > 240 AND c.nationality = 'Brazilian'"
41,student_club,"SELECT m.member_id FROM member AS m LEFT JOIN member_privileges AS mp ON m.member_id = mp.member_id WHERE mp.member_id IS NULL AND mp.privilege_level = 'admin' AND m.position = 'Secretary'"
42,card_games,"SELECT C.name, C.flavortext FROM cards AS C LEFT JOIN legalities AS L ON L.uuid = C.uuid WHERE L.format = 'Legacy' AND C.convertedmanacost BETWEEN 5.0 AND 7.0"
43,superhero,"SELECT s.superhero_name, a.alignment, p.power_name FROM superhero s JOIN alignment a ON s.alignment_id = a.id JOIN hero_power hp ON s.id = hp.hero_id JOIN superpower p ON hp.power_id = p.id WHERE s.weight_kg BETWEEN 105 AND 125 AND s.gender_id = 2 AND s.height_cm > 185"
44,toxicology,"SELECT m.molecule_id, m.label, a.element FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id WHERE a.element LIKE 'H%' ORDER BY m.label NULLS LAST, a.atom_id NULLS LAST"
45,toxicology,"SELECT bond_type, bond_seq FROM bond_ref WHERE bond_type LIKE 'E%' ORDER BY bond_seq DESC NULLS FIRST"
46,student_club,"SELECT e.event_name, SUM(b.spent) AS Total_Event_Spending FROM event AS e JOIN budget AS b ON e.event_id = b.link_to_event WHERE b.event_status = 'Approved' AND b.category = 'Fundraiser' AND e.status = 'Active' GROUP BY e.event_name HAVING SUM(b.spent) > 2200"
47,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, c.atom_id2, b.bond_type FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond AS b ON c.bond_id = b.bond_id WHERE a.element = 'As' AND b.bond_type = 'dative' ORDER BY m.molecule_id ASC, a.atom_id DESC, b.bond_type DESC"
48,european_football_2,"SELECT team_api_id, team_short_name FROM team WHERE id = (SELECT MAX(id) FROM team WHERE team_short_name LIKE 'AS%' AND team_fifa_api_id > 160000);"
49,student_club,"SELECT m.member_id FROM member AS m LEFT JOIN income AS i ON m.member_id = i.link_to_member WHERE i.link_to_member IS NULL AND i.amount > 200 AND i.source = 'donation' AND m.position = 'Vice President' AND m.zip > 90000"
50,student_club,"SELECT COUNT(DISTINCT member.member_id) AS member_count, zip_code.state FROM member JOIN zip_code ON member.zip = zip_code.zip_code WHERE member.position = 'alumni' AND zip_code.type = 'standard' GROUP BY zip_code.state, member.position"
51,superhero,"SELECT sh.id AS hero_id, sh.superhero_name, c.colour AS hair_color FROM superhero AS sh JOIN colour AS c ON sh.hair_colour_id = c.id WHERE c.colour LIKE '%Burgundy%' AND sh.weight_kg BETWEEN 70 AND 90 ORDER BY sh.id DESC"
52,formula_1,"SELECT r.raceid, r.name AS racename, c.lat AS circuitlatitude, d.code AS drivercode, co.nationality AS constructornationality, res.position AS finishposition, res.fastestlapspeed FROM races AS r INNER JOIN circuits AS c ON r.circuitid = c.circuitid INNER JOIN results AS res ON r.raceid = res.raceid INNER JOIN drivers AS d ON res.driverid = d.driverid INNER JOIN constructors AS co ON res.constructorid = co.constructorid WHERE r.year BETWEEN 2010 AND 2015 AND res.points > 10 AND res.positionorder <= 5 ORDER BY r.raceid ASC, res.fastestlapspeed DESC"
53,european_football_2,"SELECT P.player_name, P.height, PA.agility FROM player AS P JOIN player_attributes AS PA ON P.player_api_id = PA.player_api_id WHERE P.height BETWEEN 165 AND 175 AND PA.agility > 80"
54,toxicology,"SELECT atom.atom_id, atom.element, bond.bond_type FROM atom LEFT JOIN connected ON atom.atom_id = connected.atom_id LEFT JOIN bond ON connected.bond_id = bond.bond_id WHERE bond.bond_type = 'disulfide' AND atom.element = 'Sulfur'"
55,formula_1,"SELECT r.raceid, r.name, COUNT(lt.driverid) AS driver_count, MAX(lt.milliseconds) AS slowest_lap FROM races r JOIN laptimes lt ON r.raceid = lt.raceid WHERE r.year > 2019 GROUP BY r.raceid, r.name HAVING COUNT(lt.driverid) > 18"
56,student_club,"SELECT m.first_name, m.last_name, SUM(b.spent) AS Total_Spent_On_Conferences FROM member AS m JOIN budget AS b ON m.member_id = b.link_to_event JOIN event AS e ON b.link_to_event = e.event_id WHERE e.type = 'Conference' AND e.status = 'Planned' GROUP BY m.first_name, m.last_name HAVING SUM(b.spent) > 1000"
57,toxicology,"SELECT m.molecule_id, m.label, a.element FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id WHERE a.element LIKE 'Au%' ORDER BY m.label NULLS LAST, a.atom_id NULLS LAST"
58,esophageal,"SELECT patients.patient_id, demographics.race_list, pathology_and_surgery.primary_pathology_lymph_node_examined_count, COUNT(primary_pathology_lymph_node_examined_count) AS lymph_node_examined_count FROM patients JOIN pathology_and_surgery ON patients.patient_id = pathology_and_surgery.patient_id JOIN demographics ON patients.patient_id = demographics.patient_id WHERE informed_consent_verified = TRUE AND pathology_and_surgery.primary_pathology_lymph_node_examined_count BETWEEN 300 AND 500 GROUP BY patients.patient_id, demographics.race_list, pathology_and_surgery.primary_pathology_lymph_node_examined_count ORDER BY patients.patient_id;"
59,toxicology,"SELECT atom.atom_id, atom.element, molecule.label, bond_list.transact_dt_tm FROM atom INNER JOIN molecule ON atom.molecule_id = molecule.molecule_id LEFT JOIN bond_list ON atom.molecule_id = bond_list.molecule_id WHERE atom.element = 'K' AND bond_list.bond_type = 'ionic' ORDER BY molecule.label ASC, atom.atom_id ASC"
60,card_games,"SELECT id, (CASE WHEN (colors = 'U' AND power = '7' AND toughness = '6') THEN COALESCE(watermark, '9195') WHEN (colors = 'B' AND power = '6' AND toughness = '5') THEN COALESCE(watermark, '9196') WHEN (colors = 'R' AND power = '5' AND toughness = '4') THEN COALESCE(watermark, '9197') WHEN (colors = 'G' AND power = '4' AND toughness = '3') THEN COALESCE(watermark, '9198') END) AS watermark FROM cards"
61,superhero,"SELECT CASE WHEN s.id = 118 THEN 118 WHEN s.id = 119 THEN 119 WHEN s.id = 120 THEN 120 END AS fixed_id, s.superhero_name, sp.power_name FROM superhero AS s JOIN hero_power AS hp ON s.id = hp.hero_id JOIN superpower AS sp ON hp.power_id = sp.id WHERE s.id IN (118, 119, 120) AND sp.power_name LIKE 'Strength%'"
62,student_club,"SELECT m.member_id FROM member AS m LEFT JOIN income AS i ON m.member_id = i.link_to_member WHERE i.link_to_member IS NULL AND i.amount > 300 AND i.source = 'sponsorship' AND m.position = 'President'"
63,formula_1,"SELECT RACEID, MAX(CASE WHEN POSITIONORDER = 1 THEN DRIVERID END) AS WINNER, MAX(CASE WHEN POSITIONORDER = 2 THEN DRIVERID END) AS RUNNER_UP, MAX(CASE WHEN POSITIONORDER = 3 THEN DRIVERID END) AS THIRD_PLACE FROM results WHERE POSITIONORDER <= 3 AND LAPS > 100 GROUP BY RACEID"
64,formula_1,"SELECT raceid, fastestlapspeed FROM (SELECT raceid, fastestlapspeed, RANK() OVER (PARTITION BY raceid ORDER BY COUNT(*) ASC) AS rank FROM results GROUP BY raceid, fastestlapspeed) subq WHERE rank = 1"
65,codebase_community,"SELECT DISTINCT u.id AS user_id, u.displayname, u.reputation, b.name AS badge_name, b.date AS badge_date FROM users AS u LEFT JOIN badges AS b ON b.userid = u.id AND b.name = 'Publicist' WHERE u.reputation >= 13000 AND u.creationdate > '2018-01-01'"
66,formula_1,"SELECT s.resultid, s.raceid, d.driverid FROM results AS s INNER JOIN drivers AS d ON d.driverid = s.driverid WHERE s.raceid = 46 AND s.points > 150 AND d.nationality = 'Belgian'"
67,superhero,"SELECT * FROM attribute JOIN hero_attribute ON hero_attribute.attribute_id = attribute.id WHERE NOT (attribute_name = 'Intelligence' AND attribute_value BETWEEN 70 AND 90)"
68,toxicology,"SELECT molecule.molecule_id, molecule.label, bond.bond_type FROM molecule LEFT JOIN bond ON molecule.molecule_id = bond.molecule_id WHERE bond.bond_type = 'glycosidic' AND molecule.label LIKE 'Fiber%'"
69,toxicology,"SELECT molecule_id, COUNT(DISTINCT CASE WHEN element = 'u' THEN 1 END) AS u_atoms, COUNT(DISTINCT CASE WHEN element IN ('pu', 'am') THEN molecule_id END) AS pu_atoms FROM atom GROUP BY molecule_id;"
70,thrombosis_prediction,"SELECT p.id, p.diagnosis FROM patient AS p JOIN laboratory AS l ON (p.id = l.id) JOIN (SELECT p.diagnosis, l.cpk FROM patient AS p JOIN laboratory AS l ON (p.id = l.id) WHERE p.diagnosis = 'PSS' AND l.cpk > 300 GROUP BY p.diagnosis, l.cpk HAVING COUNT(*) > 2) AS j ON (p.diagnosis = j.diagnosis AND l.cpk = j.cpk)"
71,card_games,"SELECT * FROM packages WHERE 3 = (CASE WHEN status = 'processing' THEN 1 ELSE 0 END) + (CASE WHEN weight_kg < 2.0 THEN 1 ELSE 0 END) + (CASE WHEN is_fragile = true THEN 1 ELSE 0 END);"
72,thrombosis_prediction,"SELECT p.id, p.sex, p.admission, AVG(l.plt) AS avg_platelet_count FROM patient AS p INNER JOIN laboratory AS l ON p.id = l.id GROUP BY p.id, p.sex, p.admission"
73,formula_1,"SELECT r.raceid, r.name AS racename, c.country AS circuitcountry, d.forename AS driverfirstname, d.surname AS driverlastname, co.name AS teamname, res.grid AS qualifyingposition, res.fastestlaptime FROM races AS r INNER JOIN circuits AS c ON r.circuitid = c.circuitid INNER JOIN results AS res ON r.raceid = res.raceid INNER JOIN drivers AS d ON res.driverid = d.driverid INNER JOIN constructors AS co ON res.constructorid = co.constructorid WHERE r.year BETWEEN 2000 AND 2005 AND res.points > 5 AND res.positionorder <= 8 ORDER BY r.raceid DESC, res.grid ASC"
74,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, c.atom_id2, b.bond_id, br.bond_seq FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond AS b ON c.bond_id = b.bond_id INNER JOIN bond_ref AS br ON b.bond_type = br.bond_type WHERE br.bond_seq BETWEEN 25 AND 30 AND m.label LIKE 'Si%' ORDER BY m.molecule_id DESC, a.atom_id NULLS FIRST, c.atom_id2 NULLS LAST"
75,toxicology,"SELECT m.molecule_id, m.label, a.atom_id, a.element, c.atom_id2, b.bond_id, br.bond_seq FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id INNER JOIN connected AS c ON a.atom_id = c.atom_id INNER JOIN bond AS b ON c.bond_id = b.bond_id INNER JOIN bond_ref AS br ON b.bond_type = br.bond_type WHERE a.element = 'Be' AND br.bond_seq BETWEEN 1 AND 4 ORDER BY m.molecule_id DESC, a.atom_id NULLS LAST, c.atom_id2 NULLS LAST"
76,financial,"SELECT AVG(amount) FROM (SELECT amount, DENSE_RANK() OVER (ORDER BY amount DESC NULLS LAST) AS Rank FROM trans) AS E WHERE (Rank = 5)"
77,european_football_2,"SELECT Player.player_api_id, Player.player_name, Player_Attributes.agility FROM player LEFT JOIN player_attributes ON Player.player_api_id = Player_Attributes.player_api_id AND Player_Attributes.agility > 88 AND Player_Attributes.reactions > 85"
78,toxicology,"SELECT COALESCE(a.atom_id, b.bond_id) AS composite_key, COALESCE(a.molecule_id, b.molecule_id) AS molecule_ref, COALESCE(a.element, b.bond_type) AS property FROM atom AS a FULL OUTER JOIN bond_list AS b ON a.atom_id = b.bond_id WHERE a.element LIKE 'Ta%' OR b.transact_dt_tm BETWEEN '2023-06-01' AND '2023-11-30' ORDER BY composite_key DESC, molecule_ref ASC"
79,student_club,"SELECT e.event_name, SUM(a.hours) AS total_volunteer_hours FROM event e LEFT JOIN attendance a ON e.event_id = a.link_to_event WHERE e.event_date BETWEEN '2023-01-01' AND '2023-06-30' AND e.type = 'Volunteer' GROUP BY e.event_name HAVING SUM(a.hours) > 15 ORDER BY total_volunteer_hours DESC LIMIT 3"
80,toxicology,"SELECT molecule.label, COUNT(bond.bond_id) AS silicon_amide_bonds FROM molecule INNER JOIN bond ON molecule.molecule_id = bond.molecule_id WHERE bond.bond_type = 'amide' AND bond.molecule_id LIKE 'Si%' GROUP BY molecule.label ORDER BY silicon_amide_bonds DESC"
81,card_games,"SELECT t1.* FROM cards t1 JOIN (SELECT min(id) as id FROM cards GROUP BY artist, asciiname, name, setcode, rarity, convertedmanacost, power, toughness, colors, keywords, subtypes, types, layout, frameversion, bordercolor, watermark, multiverseid, originaltype, originaltext, originalreleasedate, flavortext, frameeffects, hand, life, loyalty, leadershipskills, manacost, coloridentity, colorindicator) t2 ON t1.id = t2.id"
82,esophageal,"SELECT patients.patient_id, demographics.gender, pathology_and_surgery.primary_pathology_neoplasm_histologic_grade, COUNT(pathology_and_surgery.primary_pathology_neoplasm_histologic_grade) AS histologic_grade_count FROM patients JOIN pathology_and_surgery ON patients.patient_id = pathology_and_surgery.patient_id JOIN demographics ON patients.patient_id = demographics.patient_id WHERE informed_consent_verified = TRUE AND pathology_and_surgery.primary_pathology_neoplasm_histologic_grade = 'G3' GROUP BY patients.patient_id, demographics.gender, pathology_and_surgery.primary_pathology_neoplasm_histologic_grade ORDER BY patients.patient_id;"
83,thrombosis_prediction,"SELECT p.id AS patient_id, p.sex, COALESCE(l.igm, 0) AS igm_status FROM patient AS p LEFT JOIN laboratory AS l ON p.id = l.id ORDER BY p.id DESC NULLS LAST"
84,superhero,"SELECT CASE WHEN s.id = 600 THEN 600 WHEN s.id = 601 THEN 601 WHEN s.id = 602 THEN 602 END AS fixed_id, s.superhero_name, c.colour FROM superhero AS s JOIN colour AS c ON s.skin_colour_id = c.id WHERE s.id IN (600, 601, 602) AND c.colour = 'Blue'"
85,toxicology,"SELECT m.molecule_id, m.label, a.element FROM molecule AS m INNER JOIN atom AS a ON m.molecule_id = a.molecule_id WHERE a.element LIKE 'Ca%' ORDER BY m.label NULLS LAST, a.atom_id NULLS LAST"
86,superhero,"SELECT CASE WHEN s.id = 800 THEN 800 WHEN s.id = 801 THEN 801 WHEN s.id = 802 THEN 802 END AS fixed_id, s.superhero_name, c.colour FROM superhero AS s JOIN colour AS c ON s.hair_colour_id = c.id WHERE s.id IN (800, 801, 802) AND c.colour = 'Green'"
87,codebase_community,"SELECT DISTINCT u.id AS user_id, u.displayname, u.reputation, b.name AS badge_name, b.date AS badge_date FROM users AS u LEFT JOIN badges AS b ON b.userid = u.id AND b.name = 'Great Answer' WHERE u.reputation >= 30000"
88,toxicology,"SELECT atom.atom_id, atom.element, molecule.label, bond_list.transact_dt_tm FROM atom INNER JOIN molecule ON atom.molecule_id = molecule.molecule_id LEFT JOIN bond_list ON atom.molecule_id = bond_list.molecule_id WHERE atom.element = 'Pt' AND bond_list.bond_type = 'coordinate' ORDER BY molecule.label DESC, atom.atom_id DESC"
89,toxicology,"SELECT m.molecule_id, m.label, c.atom_id2 FROM molecule AS m INNER JOIN connected AS c ON m.molecule_id = c.atom_id WHERE c.atom_id2 LIKE 'H%' ORDER BY m.label NULLS LAST, c.bond_id NULLS LAST"
90,card_games,"SELECT t1.* FROM cards t1 JOIN (SELECT min(id) as id FROM cards GROUP BY colors) t2 ON t1.id = t2.id"
91,student_club,"SELECT m.email, e.event_name, b.remaining, z.short_state FROM member AS m LEFT JOIN attendance AS a ON m.member_id = a.link_to_member LEFT JOIN event AS e ON a.link_to_event = e.event_id LEFT JOIN budget AS b ON e.event_id = b.link_to_event LEFT JOIN zip_code AS z ON m.zip = z.zip_code WHERE b.remaining > 1200 ORDER BY b.remaining DESC NULLS LAST"
92,formula_1,"SELECT circuitid, COUNT(*) FROM races GROUP BY circuitid HAVING COUNT(*) > 3;"
